Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
26940.0,-0.454,-0.283,-0.277,-19.528,-13.283,-25.593,-1.301,0.057,0.133,37.651,-50.168,-63.654,-0.153,-0.001,0.6,-63.98,-59.57,37.45
26960.0,-0.393,-0.268,-0.338,-18.828,-12.713,-22.926,-1.799,0.968,-0.223,31.044,107.269,-62.599,-0.11,-0.147,0.499,-50.26,-45.85,38.43
26980.0,-0.352,-0.311,-0.358,-19.885,-0.15,-20.109,-1.118,-0.206,0.07,-30.418,36.423,-80.634,-0.269,-0.065,0.521,-21.706,-50.444,31.727
27000.0,-0.352,-0.263,-0.175,-25.553,8.34,-19.441,-0.867,-0.598,0.029,5.976,80.053,-61.837,-0.206,0.097,0.606,-39.675,-55.794,28.286
27020.0,-0.383,-0.179,-0.133,-22.09,6.502,-15.346,-0.487,-0.746,-0.282,53.742,82.616,-52.395,-0.125,-0.054,0.576,-38.204,-42.783,23.949
27040.0,-0.376,-0.091,-0.289,-11.514,3.374,-4.457,-0.364,-0.662,-0.358,49.364,40.649,-41.426,-0.278,0.017,0.565,-31.442,-35.601,23.318
27060.0,-0.262,-0.041,-0.451,-8.561,16.834,7.734,-1.357,-0.231,0.088,46.296,7.029,-22.828,-0.432,0.117,0.599,-17.147,-51.177,20.22
27080.0,-0.212,-0.047,-0.446,-7.173,34.787,14.854,-1.596,-0.244,-0.136,47.208,74.524,-29.689,-0.295,0.223,0.784,-20.357,-61.463,22.787
27100.0,-0.286,-0.144,-0.324,-4.652,46.479,11.78,-0.679,-0.42,-0.265,42.391,92.123,-27.665,-0.184,0.122,0.84,-52.323,-42.756,27.415
27120.0,-0.475,-0.227,-0.37,1.311,35.396,9.042,-1.136,-0.286,-0.172,31.455,76.582,-39.15,-0.243,-0.104,0.706,-30.417,-13.178,18.955
27140.0,-0.596,-0.244,-0.405,-12.838,27.329,2.693,-1.262,-0.234,-0.274,18.965,87.185,-48.941,-0.521,0.082,0.678,9.846,-13.358,12.496
27160.0,-0.865,-0.149,-0.302,-28.484,15.377,-3.553,-1.126,-0.298,-0.306,8.608,93.9,-49.381,-0.465,0.23,0.929,-9.244,-46.705,14.024
27180.0,-0.993,-0.089,-0.461,-30.777,9.201,-4.498,-1.038,-0.517,-0.12,-1.632,75.59,-43.525,-0.307,0.106,0.99,-17.247,-34.077,13.295
27200.0,-0.933,-0.088,-0.879,-14.21,10.29,9.52,-0.836,-0.551,-0.153,-5.981,68.094,-36.593,-0.312,0.02,0.962,1.501,-11.399,7.423
27220.0,-0.816,-0.147,-0.942,-8.833,27.297,20.454,-0.629,-0.486,-0.301,-5.114,59.423,-30.198,-0.37,0.092,0.958,25.62,0.877,3.792
27240.0,-0.877,-0.225,-0.758,-12.867,26.949,12.672,-0.585,-0.443,-0.428,1.351,50.302,-24.136,-0.355,0.192,1.043,23.519,0.306,4.136
27260.0,-1.033,-0.254,-0.593,-7.56,1.19,7.91,-0.785,-0.435,-0.451,3.772,38.982,-20.588,-0.28,0.19,1.191,13.419,-3.218,7.194
27280.0,-1.029,-0.303,-0.79,5.182,-3.208,7.2,-0.913,-0.438,-0.395,3.354,28.887,-19.323,-0.255,0.16,1.28,10.368,5.713,8.857
27300.0,-1.081,-0.328,-0.913,9.892,13.525,2.625,-0.927,-0.343,-0.373,-0.679,23.571,-19.548,-0.267,0.199,1.339,4.804,26.7,6.722
27320.0,-1.104,-0.394,-0.837,5.789,12.347,-3.827,-0.798,-0.463,-0.379,-2.286,18.545,-20.251,-0.386,0.247,1.335,2.561,30.049,3.248
27340.0,-1.092,-0.315,-0.883,-5.331,4.939,-8.946,-0.752,-0.42,-0.421,-5.472,4.221,-18.447,-0.424,0.265,1.334,-8.264,23.804,2.312
27360.0,-1.022,-0.238,-0.962,-5.73,9.232,-5.735,-0.682,-0.444,-0.465,-11.573,-8.156,-17.621,-0.393,0.151,1.424,-14.622,14.051,1.786
27380.0,-1.026,-0.247,-0.89,-0.116,8.788,-1.756,-0.812,-0.386,-0.457,-4.239,-16.942,-17.282,-0.433,0.066,1.422,-14.673,24.311,1.789
27400.0,-1.068,-0.255,-0.871,2.314,5.26,-2.191,-0.921,-0.522,-0.366,0.021,-20.536,-17.301,-0.428,0.03,1.372,-1.4,28.7,-2.1
27420.0,-1.065,-0.249,-0.989,-0.326,7.693,-2.082,-0.957,-0.609,-0.221,-3.836,-23.84,-18.401,-0.421,0.159,1.362,14.56,31.36,-1.82
27440.0,-1.081,-0.26,-1.083,-3.897,9.506,0.891,-0.861,-0.615,-0.215,-14.398,-24.032,-15.094,-0.363,0.211,1.446,-4.993,36.193,5.516
27460.0,-1.106,-0.278,-1.08,-3.43,13.07,1.126,-0.774,-0.603,-0.265,-17.864,-29.396,-10.856,-0.446,0.166,1.475,-14.735,38.213,9.645
27480.0,-1.13,-0.267,-0.96,-4.85,11.648,-2.095,-0.711,-0.502,-0.336,-18.677,-31.771,-4.656,-0.47,0.083,1.451,-1.377,32.509,7.158
27500.0,-1.135,-0.203,-0.916,-8.958,2.347,-2.27,-0.778,-0.465,-0.388,-7.322,-35.307,4.025,-0.455,0.073,1.617,23.031,22.451,4.07
27520.0,-1.093,-0.161,-0.955,-10.513,1.033,-0.028,-0.77,-0.571,-0.311,-4.345,-41.586,8.961,-0.43,0.186,1.527,28.833,14.049,3.823
27540.0,-1.025,-0.167,-0.967,-14.267,4.939,0.685,-0.774,-0.603,-0.271,-4.709,-46.41,10.578,-0.456,0.269,1.515,30.377,9.392,0.58
27560.0,-1.008,-0.225,-0.902,-18.441,5.479,-1.242,-0.804,-0.483,-0.28,-11.047,-51.908,16.53,-0.503,0.198,1.36,19.32,5.81,-3.92
27580.0,-1.009,-0.268,-0.849,-18.155,0.965,-3.046,-0.808,-0.454,-0.324,-16.245,-50.409,20.951,-0.386,0.15,1.358,22.89,-6.79,-5.81
27600.0,-0.996,-0.243,-0.842,-14.935,-1.937,-2.574,-0.863,-0.507,-0.258,-16.44,-53.146,25.7,-0.352,0.108,1.384,15.01,5.171,1.77
27620.0,-0.949,-0.232,-0.857,-13.343,-2.799,-1.805,-0.804,-0.496,-0.261,-15.933,-58.008,33.416,-0.466,0.154,1.369,4.073,-1.123,1.268
27640.0,-0.905,-0.254,-0.847,-14.046,-2.679,-1.729,-0.744,-0.55,-0.204,-12.193,-53.696,39.041,-0.525,0.109,1.253,5.843,-5.627,-2.123
27660.0,-0.885,-0.241,-0.858,-12.036,-1.54,-1.443,-0.883,-0.559,-0.139,-13.925,-55.432,47.233,-0.482,0.155,1.245,9.518,-7.171,-1.631
27680.0,-0.899,-0.213,-0.833,-7.887,-1.541,-1.856,-0.93,-0.444,-0.236,-11.854,-60.045,58.402,-0.487,0.145,1.246,1.005,-6.148,1.12
27700.0,-0.903,-0.161,-0.763,-7.727,-1.792,0.041,-0.873,-0.391,-0.266,5.709,-59.998,69.122,-0.527,0.093,1.221,-6.61,-6.719,0.497
27720.0,-0.894,-0.194,-0.74,-5.951,-10.613,1.452,-0.961,-0.469,-0.154,12.731,-63.471,77.93,-0.554,-0.016,1.128,-2.268,-10.171,-5.622
27740.0,-0.898,-0.193,-0.743,-0.699,-16.594,0.775,-0.959,-0.437,-0.124,14.973,-67.091,91.213,-0.552,0.025,0.993,30.268,-19.549,-13.934
27760.0,-0.925,-0.175,-0.717,5.676,-25.019,1.747,-0.968,-0.313,-0.16,13.559,-67.371,102.098,-0.527,0.193,0.99,39.104,-24.728,-15.012
27780.0,-0.901,-0.194,-0.695,8.515,-32.004,1.958,-1.045,-0.397,-0.124,10.376,-78.434,92.977,-0.482,0.227,0.985,32.388,-29.909,-12.205
27800.0,-0.9,-0.226,-0.655,9.637,-36.458,0.506,-1.083,-0.285,0.173,-10.504,-79.749,109.145,-0.395,0.119,0.815,32.251,-32.521,-10.057
27820.0,-0.883,-0.224,-0.618,13.902,-39.506,-2.87,-1.296,0.034,-0.087,-17.92,-49.07,129.29,-0.346,0.038,0.604,58.053,-23.897,-11.802
27840.0,-0.862,-0.197,-0.581,19.711,-46.409,-1.944,-1.437,-0.189,0.031,34.256,-78.431,104.113,-0.381,0.066,0.495,84.99,-23.291,-19.478
27860.0,-0.831,-0.178,-0.525,22.515,-49.784,-0.112,-1.011,-0.222,0.035,-24.374,-67.387,87.823,-0.303,0.281,0.588,67.459,-21.751,-20.939
27880.0,-0.798,-0.203,-0.454,27.621,-57.669,0.628,-0.455,-0.313,-0.016,-30.394,2.086,19.083,-0.204,0.284,0.653,11.003,-5.254,-15.795
