Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
90600.0,-0.046,0.853,-0.839,21.397,-53.329,-37.756,-0.581,0.235,0.294,16.195,40.294,3.849,-0.919,-0.267,0.208,1.77,1.486,7.635,-1.44,-0.351,-0.227,1.651,-29.333,-17.941,1.249,-0.068,0.174,31.877,70.335,-73.804
90620.0,-0.057,0.852,-0.835,21.061,-59.956,-43.789,-1.109,-0.011,0.275,12.154,-21.534,4.548,-0.945,-0.245,0.203,2.154,3.429,10.575,-1.407,-0.403,-0.221,3.637,-31.779,-23.204,1.17,-0.076,0.135,32.07,80.505,-85.722
90640.0,-0.07,0.855,-0.846,19.579,-66.485,-48.409,-0.936,0.086,0.299,8.357,-3.513,3.621,-0.941,-0.227,0.211,1.472,12.647,12.531,-1.444,-0.394,-0.229,12.399,-36.491,-26.623,1.124,-0.068,0.157,30.364,91.926,-99.295
90660.0,-0.079,0.849,-0.86,17.926,-71.39,-54.056,-0.963,0.067,0.288,6.76,-2.548,2.855,-0.947,-0.244,0.201,5.511,7.937,15.939,-1.431,-0.387,-0.246,22.211,-43.297,-26.693,1.048,-0.073,0.237,29.499,103.007,-107.765
90680.0,-0.104,0.825,-0.855,17.778,-77.657,-60.458,-0.969,0.091,0.304,6.354,0.555,1.829,-0.93,-0.216,0.197,7.13,8.898,21.367,-1.379,-0.361,-0.262,34.224,-49.107,-24.693,0.971,-0.205,0.224,35.026,115.836,-114.273
90700.0,-0.148,0.797,-0.829,18.63,-85.905,-66.465,-0.978,0.063,0.302,0.809,3.052,-0.312,-1.033,-0.198,0.181,7.134,8.026,21.407,-1.328,-0.292,-0.269,42.272,-55.671,-20.723,0.836,-0.265,0.188,40.724,135.355,-123.397
90720.0,-0.198,0.759,-0.801,19.368,-93.341,-71.63,-0.98,0.048,0.288,0.214,4.625,-0.031,-0.966,-0.134,0.2,4.224,12.256,18.367,-1.248,-0.264,-0.268,45.531,-60.209,-15.452,0.556,-0.272,0.196,49.174,153.584,-139.861
90740.0,-0.241,0.721,-0.769,20.634,-99.405,-76.264,-0.984,0.05,0.284,-0.95,5.261,-13.083,-0.919,-0.157,0.195,6.333,11.908,22.151,-1.185,-0.226,-0.253,48.272,-61.305,-11.305,0.387,-0.087,0.148,50.263,148.361,-165.085
90760.0,-0.272,0.678,-0.735,21.789,-104.91,-81.041,-1.093,0.06,0.275,1.923,5.917,-4.326,-0.966,-0.155,0.179,5.188,9.148,21.011,-1.052,-0.181,-0.233,34.671,-58.919,-10.399,0.378,-0.068,0.146,35.21,152.39,-189.7
90780.0,-0.294,0.623,-0.711,22.603,-109.48,-85.21,-1.048,0.062,0.27,2.407,3.531,-0.712,-0.978,-0.15,0.165,4.706,11.935,19.81,-1.009,-0.176,-0.256,19.017,-55.303,-10.908,0.144,-0.152,0.212,41.084,202.27,-208.605
