Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
141660.0,-1.09,0.024,0.232,-8.274,1.799,-4.075,-0.91,0.296,0.087,21.027,19.991,-45.298,-1.022,0.272,0.328,-6.302,-0.118,-29.597,-1.027,-0.31,0.188,3.628,18.34,21.075
141680.0,-1.071,-0.009,0.214,-8.818,0.011,-3.624,-0.925,0.287,0.13,21.856,38.412,-56.849,-1.003,0.221,0.339,-11.824,-2.683,-31.901,-1.047,-0.306,0.171,6.848,16.317,25.161
141700.0,-1.074,-0.026,0.218,-8.351,-3.851,-3.367,-0.895,0.415,0.142,26.068,64.474,-70.24,-0.936,0.156,0.338,-10.15,-3.22,-33.04,-0.98,-0.313,0.183,6.122,15.33,26.308
141720.0,-1.006,-0.068,0.18,-10.094,-2.498,-3.535,-1.121,0.436,0.123,33.481,83.194,-76.922,-0.897,0.162,0.358,-11.042,-4.938,-32.683,-0.926,-0.361,0.205,7.42,17.15,23.66
141740.0,-0.997,-0.101,0.259,-4.532,-2.577,-4.474,-1.544,0.29,0.107,95.48,90.327,-73.486,-0.9,0.159,0.375,-16.045,-8.614,-30.848,-0.892,-0.375,0.232,11.198,17.958,20.617
141760.0,-0.924,-0.134,0.182,-2.433,-6.33,-3.734,-1.563,0.262,-0.141,95.144,113.155,-67.894,-0.89,0.116,0.374,-15.011,-13.022,-27.527,-0.871,-0.384,0.239,11.839,18.576,16.238
141780.0,-0.918,-0.18,0.187,3.485,-2.884,-4.186,-1.537,0.572,-0.228,68.844,114.699,-61.99,-0.92,0.075,0.369,-4.642,-15.723,-23.683,-0.876,-0.401,0.238,14.037,17.581,12.616
141800.0,-0.948,-0.175,0.229,9.276,-5.915,-4.746,-1.313,0.603,-0.106,26.971,91.093,-46.884,-0.949,0.062,0.37,8.21,-18.222,-20.221,-0.89,-0.392,0.215,13.288,14.129,12.445
141820.0,-0.98,-0.148,0.228,7.466,-8.627,-5.094,-1.14,0.396,0.509,26.621,53.636,-28.459,-1.001,0.076,0.368,23.127,-18.887,-16.123,-0.897,-0.406,0.205,9.974,11.048,13.841
141840.0,-1.019,-0.106,0.262,4.192,-7.046,-5.908,-0.822,0.469,0.68,24.352,-1.779,1.393,-1.0,0.106,0.359,34.449,-20.931,-10.59,-0.916,-0.443,0.206,10.228,6.134,16.741
141860.0,-1.055,-0.069,0.262,0.757,-2.546,-4.903,-0.705,0.421,0.657,16.337,-48.222,39.127,-0.948,0.124,0.361,36.967,-17.297,-7.626,-0.93,-0.455,0.212,11.809,2.599,21.48
