Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
920.0,-0.997,-0.019,-0.134,4.55,-15.96,-0.56,-0.999,0.138,0.149,2.27,2.977,-3.582,-0.966,0.38,-0.024,8.347,-3.273,-3.758,-1.007,-0.195,0.021,3.243,3.405,5.735
940.0,-1.006,-0.015,-0.155,3.85,-10.92,-0.49,-1.007,0.123,0.146,0.934,3.229,-3.36,-0.971,0.38,-0.024,8.672,-4.211,-2.151,-0.999,-0.202,0.027,5.607,3.238,6.58
960.0,-1.014,-0.015,-0.127,4.451,-8.647,-0.221,-1.013,0.123,0.145,1.916,3.044,-3.32,-0.968,0.387,-0.019,8.001,-4.917,-0.57,-1.01,-0.193,0.027,6.68,3.691,6.493
980.0,-1.017,-0.015,-0.109,4.48,-7.899,-0.315,-1.015,0.122,0.139,2.952,2.19,-3.048,-0.967,0.394,-0.019,6.669,-5.315,0.837,-1.012,-0.19,0.028,6.658,3.407,5.773
1000.0,-1.022,-0.016,-0.112,3.079,-7.196,-0.504,-1.011,0.124,0.134,1.89,2.065,-2.449,-0.959,0.392,-0.019,3.286,-6.148,2.298,-1.012,-0.191,0.033,5.919,2.923,5.442
1020.0,-1.015,-0.014,-0.123,2.686,-5.417,-1.106,-1.012,0.125,0.129,0.753,2.016,-1.851,-0.958,0.381,-0.019,1.329,-6.826,3.891,-1.011,-0.194,0.036,5.393,2.646,5.111
1040.0,-1.002,-0.009,-0.124,3.13,-4.003,-1.221,-1.013,0.118,0.129,0.84,1.483,-1.563,-0.957,0.378,-0.023,0.183,-7.601,5.459,-1.017,-0.203,0.04,6.21,2.324,5.361
1060.0,-0.993,-0.008,-0.111,4.076,-3.648,-1.136,-1.009,0.116,0.136,1.076,0.873,-1.418,-0.951,0.368,-0.022,-0.536,-8.031,6.729,-1.026,-0.204,0.041,7.555,1.202,5.862
1080.0,-0.996,-0.013,-0.107,4.328,-3.347,-1.15,-1.018,0.109,0.123,1.47,-0.048,-0.829,-0.949,0.364,-0.026,-0.887,-8.387,7.928,-1.026,-0.198,0.041,7.076,-0.298,4.615
1100.0,-0.999,-0.017,-0.115,4.124,-2.729,-1.312,-1.008,0.113,0.12,1.239,-0.748,-0.077,-0.942,0.36,-0.029,-1.672,-8.579,8.907,-1.023,-0.192,0.041,5.273,-1.277,3.24
1120.0,-0.997,-0.018,-0.116,3.034,-2.13,-1.482,-1.004,0.122,0.122,1.319,-1.623,0.275,-0.935,0.352,-0.035,-2.317,-8.74,9.309,-1.032,-0.19,0.035,3.577,-2.506,0.567
1140.0,-0.99,-0.018,-0.113,2.357,-1.762,-1.699,-1.005,0.121,0.124,1.265,-2.365,0.465,-0.935,0.348,-0.04,-2.472,-8.556,9.809,-1.024,-0.192,0.03,2.192,-4.621,-2.394
