right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
-61.87472625579032,-72.08137247073097,-0.2640692919986236,2.1864141504513555,2.915438843234,4.070998940058246,9.405962633277824,7.392644575166742,-5.509184737616209,-11.204559774666507,-59.69521974082366,-71.19678930139006,-87.82049348503327,-89.115416830659,-88.0845627770319,-86.92900268020765,-0.20318219342243538,87.91449713730907,-2.421832002935787,86.94155483274966,-81.59403898698805,-83.60735704509914,-87.10322372460426,-94.81191681976564
-62.12524008018991,-72.47488943545143,-0.07642945713629956,2.2054759195621614,3.0847370799936584,4.173450320505481,9.572365000123625,7.464078652047306,-5.597276522224917,-11.043194356731902,-60.062195181222265,-71.6050366726704,-87.93695510103228,-89.13014723721889,-88.0133845581686,-86.92467131765673,-0.022436038354243237,88.01261716585196,-2.4213041065202106,86.99994301094341,-81.52575663803859,-83.63404298611489,-87.12303316026352,-94.6772373428468
-61.83464625184047,-72.487544039601,0.15645770261562575,2.204942135440348,3.2687760795409133,4.248197177991955,9.77892126153995,7.563154556431186,-5.739724426526749,-10.904883195167798,-59.92338338789166,-71.64534451002586,-88.08873713605112,-89.15780047042479,-87.93227943343548,-86.95285833498441,0.01785811727216924,88.11555106974185,-2.4224405456319573,87.15475394432673,-81.42213425143643,-83.63790095654518,-87.16185867796322,-94.54278415171302
-61.34526594715453,-72.17752418143616,0.331099301332614,2.287455339852386,3.3856617121874706,4.28275309758385,9.966999427255274,7.572561525144209,-5.966248826477653,-10.682764230182613,-59.53827840523138,-71.42980129263641,-88.1930124580768,-89.25227711120017,-87.86191315674415,-86.96482177134777,-0.005321732268782853,88.16207047723401,-2.427049114149554,87.36437677174916,-81.28057544167635,-83.67501334378743,-87.24682426815404,-94.35777757397008
-61.09895888755577,-71.94146743410774,0.4102204403451424,2.460786790653543,3.4283248174413075,4.28653545813907,10.129706088578331,7.494901638107109,-6.206308847314716,-10.365255100148573,-59.31161613608265,-71.34648039224524,-88.2126572485268,-89.40501295813742,-87.80243680818164,-86.94422616748386,-0.040691084125768384,88.14525729592305,-2.4369297864493547,87.57835501913985,-81.10105553704462,-83.73585998751588,-87.30736438435937,-94.10111508766444
-61.339198180737554,-71.7343551730942,0.42355435453418977,2.616815790246477,3.4553724458793056,4.266284192519549,10.274391940847067,7.453136721085798,-6.329998479686338,-10.09749694009787,-59.5030207887618,-71.28052747019048,-88.16382260802415,-89.54617229709619,-87.74026825348996,-86.92935650684971,-0.06710199614855128,88.11013639662048,-2.4522710116679036,87.73441819404366,-80.92124875852218,-83.7425039782835,-87.25124723820855,-93.84000091838136
-61.942337458036405,-71.45923453627017,0.40306671242100833,2.644177882713308,3.4857660583023176,4.210433052118418,10.393854383353641,7.518499784065057,-6.252237712360738,-10.001640490529752,-60.03477877636283,-71.06812003107278,-88.09244131832635,-89.60888549480254,-87.68937460590533,-86.96470761208923,-0.08391224979158096,88.08963625928959,-2.470372757598625,87.77868617826118,-80.78128628085402,-83.6566408801426,-87.03352399321479,-93.65828137067231
-62.43577184519023,-71.6805354463739,0.3640204493491126,2.507553501570044,3.480572924874025,4.098602391302791,10.478405561746087,7.644288059745321,-5.979887175853378,-10.049308904640839,-60.477878329350375,-71.24814551632622,-88.0421064841601,-89.56761006995225,-87.67808603481097,-87.06005656838222,-0.09594656345416297,88.07315418854449,-2.485889341267807,87.70082495027918,-80.68025339793891,-83.5143708999397,-86.6601405737923,-93.5636798045805
-62.34322421659209,-72.95396317579615,0.3274917348523445,2.26072505876769,3.4361518138316285,3.9409166018865847,10.545033992465733,7.748298160572261,-5.588828103574912,-10.119309049527715,-60.361360467751354,-72.40056796281583,-88.0181362511592,-89.44660478701961,-87.69064451630686,-87.18587972825192,-0.10475324209053838,88.04129081802762,-2.492561234398721,87.54591443953723,-80.58176233767276,-83.37849816956627,-86.17059044124768,-93.49780721909394
-61.62666720435682,-74.82969905689244,0.2921758221600044,2.039791977928985,3.398835641831681,3.8081927989696567,10.625099943809857,7.779303299814899,-5.145968251520799,-10.071635180035486,-59.60685711351877,-74.14814796468539,-87.98018990916192,-89.3184489077929,-87.6880140870019,-87.27865692986391,-0.11001331114266577,88.00134317632268,-2.486624421828907,87.40314174906996,-80.46174978502377,-83.30754642901873,-85.60771803654454,-93.37918160905416
