Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
3040.0,-0.524,0.126,-0.758,42.191,-144.645,-55.238,-1.003,0.122,0.062,3.625,1.354,13.217,-0.995,-0.018,0.217,-18.208,9.736,1.458,-0.69,0.08,-0.067,8.186,-47.101,30.185
3060.0,-0.597,0.076,-0.771,38.85,-146.351,-58.446,-0.978,0.183,0.064,2.97,2.026,11.304,-0.957,-0.041,0.213,-18.065,12.553,1.603,-0.657,0.03,-0.088,19.25,-45.85,30.8
3080.0,-0.618,0.092,-0.758,38.964,-143.609,-59.681,-0.968,0.159,0.066,-3.695,3.139,9.558,-0.961,-0.07,0.195,-14.255,16.507,0.208,-0.67,0.034,-0.052,29.287,-40.769,31.845
3100.0,-0.616,0.09,-0.71,41.069,-139.685,-57.876,-0.975,0.147,0.081,-7.754,6.004,9.504,-0.973,-0.047,0.166,-9.666,19.942,-0.91,-0.666,0.148,0.031,14.725,-43.327,30.573
3120.0,-0.658,0.0,-0.642,36.447,-133.435,-65.528,-1.022,0.139,0.074,-9.326,5.554,9.59,-0.995,-0.05,0.193,-8.974,18.476,-0.796,-0.642,0.16,0.068,-12.492,-44.986,28.67
3140.0,-0.666,0.009,-0.616,31.539,-128.647,-53.933,-1.027,0.124,0.061,-9.366,4.251,9.531,-0.973,-0.046,0.174,-6.805,19.755,-0.438,-0.617,0.107,0.054,-21.727,-43.607,25.055
3160.0,-0.7,-0.002,-0.585,26.191,-127.437,-57.355,-1.015,0.149,0.046,-6.471,3.311,9.208,-1.004,-0.047,0.143,1.26,21.28,-1.68,-0.595,0.023,0.052,-16.607,-41.571,20.942
3180.0,-0.709,0.043,-0.546,25.544,-125.724,-51.751,-1.002,0.19,0.039,-5.826,2.964,8.073,-1.011,-0.014,0.167,2.056,19.827,-2.061,-0.558,0.013,0.06,1.439,-40.004,15.81
3200.0,-0.69,0.011,-0.479,23.412,-123.412,-49.237,-1.003,0.183,0.06,-8.668,4.169,5.266,-1.02,-0.007,0.111,6.676,16.203,-3.158,-0.575,0.054,0.072,3.883,-33.066,9.864
3220.0,-0.735,-0.039,-0.464,20.09,-113.68,-52.5,-1.01,0.184,0.066,-6.618,6.482,2.921,-1.027,-0.021,0.061,3.71,17.57,-3.71,-0.684,0.05,0.056,0.206,-39.019,1.504
3240.0,-0.747,-0.043,-0.425,12.88,-110.95,-44.03,-0.993,0.206,0.059,-9.393,7.573,0.779,-1.037,0.009,0.115,0.14,7.91,-2.66,-0.686,0.052,0.067,1.766,-54.837,-9.74
3260.0,-0.766,-0.048,-0.413,11.97,-102.48,-43.47,-0.996,0.183,0.057,-17.122,7.856,-1.076,-0.97,-0.014,0.113,-4.044,11.669,-2.592,-0.653,0.034,0.125,2.201,-61.522,-18.699
3280.0,-0.763,-0.068,-0.388,10.99,-95.13,-38.15,-1.028,0.129,0.04,-15.721,6.425,-1.345,-1.029,-0.067,0.143,3.817,6.262,-4.046,-0.656,-0.023,0.16,-0.877,-60.104,-25.832
3300.0,-0.764,-0.103,-0.362,12.034,-89.423,-35.158,-1.018,0.114,0.041,-7.309,3.899,-2.016,-0.982,-0.058,0.114,7.259,9.65,-4.816,-0.684,-0.054,0.194,3.676,-52.962,-34.948
3320.0,-0.759,-0.147,-0.316,12.968,-80.172,-32.168,-0.97,0.142,0.046,-1.72,6.288,-4.173,-1.012,-0.028,0.094,11.749,8.798,-5.416,-0.643,0.021,0.418,4.246,-36.366,-44.182
3340.0,-0.769,-0.151,-0.283,11.979,-73.688,-28.348,-0.995,0.172,0.025,-0.99,7.247,-6.997,-1.006,-0.013,0.072,9.157,8.5,-5.805,-0.648,-0.0,0.397,-6.861,-1.006,-44.766
3360.0,-0.782,-0.152,-0.254,10.266,-66.183,-23.844,-1.001,0.203,0.028,-2.61,8.262,-9.523,-1.021,-0.03,0.044,5.246,4.329,-4.608,-0.737,-0.142,0.245,-2.875,14.796,-44.55
3380.0,-0.787,-0.176,-0.238,6.326,-57.449,-20.317,-0.996,0.177,0.042,-3.908,10.186,-14.326,-1.03,-0.011,0.059,-0.121,1.09,-3.236,-0.799,-0.196,0.212,31.188,20.119,-45.838
