Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
900.0,-0.974,0.029,0.327,0.175,1.275,-0.889,-0.994,0.154,-0.108,-0.615,-2.556,2.317,-0.967,0.211,0.209,-1.814,-2.076,-0.875
920.0,-0.971,0.026,0.323,0.079,1.34,-1.022,-0.997,0.156,-0.11,-0.567,-2.326,2.31,-0.968,0.21,0.208,-1.64,-1.97,-0.6
940.0,-0.974,0.027,0.324,0.15,1.513,-1.05,-0.997,0.154,-0.111,-0.618,-2.31,2.31,-0.968,0.21,0.206,-0.961,-2.087,-0.245
960.0,-0.975,0.028,0.325,0.352,1.506,-0.998,-0.996,0.155,-0.11,-0.69,-2.421,2.366,-0.969,0.208,0.207,-0.256,-2.161,0.08
980.0,-0.975,0.029,0.324,0.531,1.259,-0.98,-0.993,0.162,-0.11,-0.7,-2.184,2.38,-0.966,0.212,0.21,0.166,-2.075,0.472
1000.0,-0.976,0.028,0.324,0.616,1.113,-0.98,-0.996,0.156,-0.11,-0.53,-2.396,2.437,-0.962,0.22,0.215,-1.003,-1.912,0.759
1020.0,-0.977,0.027,0.325,0.63,0.764,-1.018,-0.996,0.157,-0.109,-0.49,-2.196,2.337,-0.96,0.216,0.224,-2.297,-2.265,0.908
1040.0,-0.976,0.024,0.324,0.55,0.56,-0.97,-0.994,0.16,-0.11,-0.657,-2.281,2.211,-0.959,0.209,0.214,-3.211,-3.007,0.547
1060.0,-0.975,0.023,0.322,0.852,0.64,-0.91,-0.995,0.159,-0.11,-0.625,-2.209,2.081,-0.959,0.201,0.213,-1.363,-2.665,0.316
1080.0,-0.98,0.019,0.324,0.195,0.016,-0.936,-0.994,0.159,-0.11,-0.388,-2.223,1.933,-0.953,0.201,0.211,0.375,-2.979,-0.219
1100.0,-0.973,0.029,0.318,0.097,-0.047,-1.112,-0.995,0.161,-0.109,-0.557,-1.981,1.775,-0.969,0.207,0.21,1.182,-3.267,-0.932
1120.0,-0.971,0.04,0.328,2.726,0.22,-1.152,-0.993,0.158,-0.112,-0.593,-1.991,1.873,-0.965,0.208,0.211,2.192,-3.431,-1.223
