Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
41320.0,-0.606,-0.414,-0.438,-10.0,58.327,-72.91,-1.041,-0.162,-0.055,1.174,3.051,12.352,-0.981,0.2,-0.021,7.308,12.893,-2.092,-0.867,-0.432,-0.073,-39.679,-9.17,-55.235,-0.739,-0.119,-0.205,-10.627,-2.441,-15.29
41340.0,-0.582,-0.437,-0.486,-6.321,62.744,-74.087,-0.958,-0.08,-0.062,0.404,3.756,13.978,-0.972,0.174,-0.048,2.612,13.231,-1.845,-0.859,-0.462,-0.092,-36.201,-9.823,-55.766,-0.735,-0.122,-0.177,-0.584,1.363,-13.085
41360.0,-0.557,-0.451,-0.505,-2.286,68.421,-75.057,-1.024,-0.002,-0.05,-16.51,8.311,12.095,-0.992,0.186,-0.035,-1.515,10.376,-1.102,-0.835,-0.485,-0.117,-29.502,-7.488,-56.227,-0.79,-0.079,-0.235,5.234,12.158,-11.258
41380.0,-0.532,-0.477,-0.507,2.1,74.618,-76.624,-1.073,-0.045,-0.019,-18.268,7.819,11.217,-0.952,0.175,-0.043,-4.693,12.843,0.105,-0.818,-0.52,-0.117,-22.858,-4.523,-56.521,-0.881,-0.034,-0.308,-0.538,9.624,-8.808
41400.0,-0.521,-0.523,-0.509,4.17,78.223,-79.321,-1.101,-0.075,-0.019,-6.294,-0.629,13.366,-0.965,0.158,-0.014,-0.085,14.956,-0.412,-0.806,-0.512,-0.086,-19.268,-3.31,-57.611,-0.89,-0.074,-0.355,-8.964,2.513,-5.442
41420.0,-0.533,-0.563,-0.487,-0.896,77.009,-82.014,-0.976,-0.057,-0.058,3.025,-2.427,14.008,-1.013,0.174,-0.013,2.171,14.719,-1.673,-0.797,-0.487,-0.096,-17.587,-2.571,-60.396,-0.847,-0.135,-0.342,-7.906,0.803,-1.679
41440.0,-0.544,-0.589,-0.482,-2.305,69.982,-82.236,-1.013,-0.029,-0.07,5.747,-2.76,12.283,-1.069,0.117,-0.003,6.222,11.696,-6.092,-0.803,-0.489,-0.136,-16.071,-2.108,-62.67,-0.849,-0.133,-0.321,-2.032,5.767,-0.66
41460.0,-0.538,-0.593,-0.543,1.917,65.885,-80.109,-0.945,0.024,-0.093,-2.385,-0.279,5.42,-1.078,0.134,-0.087,15.959,5.207,-7.984,-0.806,-0.577,-0.192,-11.028,-1.302,-65.172,-0.956,-0.179,-0.337,8.087,12.715,0.622
41480.0,-0.502,-0.591,-0.627,10.646,68.532,-75.617,-0.923,0.05,-0.062,-23.499,11.053,0.448,-0.907,0.194,-0.092,18.521,-2.395,-7.0,-0.782,-0.616,-0.195,-1.365,3.395,-63.828,-1.112,-0.231,-0.42,25.968,9.941,9.278
41500.0,-0.492,-0.628,-0.644,15.197,71.799,-72.487,-0.999,0.046,-0.025,-34.607,15.493,-0.576,-0.93,0.222,-0.069,3.217,4.584,-6.207,-0.801,-0.578,-0.173,3.051,10.548,-62.195,-1.183,-0.155,-0.448,29.488,-0.399,15.295
