time,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
126.0,-68.21051895250417,-117.35786300889397,3.392988281407969,-30.318604438126307,-181.1113849220581,-180.2546969497488,-217.93086932384736,176.37289807184197,170.44798199654304,-548.3228165039797,-74.41573024979566,-88.99474198438442,-96.2052112972914,-61.63693060544779,-92.8122230158834,-91.95553504357412,-8.505210614483126,88.29916368043912,-3.9596185886567152,265.8748653077293,-309.6317074176726,264.67205997801653,947.7602293956242,-643.650756525963
126.02,-69.95194870209363,-88.61949419775435,4.421818097215752,-2.34521140975919,-180.21060698699756,-179.78912814092894,-216.65543684331388,178.68210402756978,169.90748495784544,-543.0029847967666,-76.66770711027624,-88.14673527008121,-96.71575840818254,-89.52725005513895,-92.29394031096678,-91.87246146489815,-8.180935778640253,87.91666851418265,-3.789208553986145,266.3756498304135,-308.738770167283,266.59877070360045,946.7060287364089,-636.4042140931659
126.04,-73.19416626765354,-71.10692551256,4.556411382061265,14.678325669065886,-179.47940061949677,-179.08217694456232,-211.46239586081848,182.97055764061986,170.36843751352384,-532.9882334215923,-79.6675449578742,-87.3050039400336,-96.47337869022058,-106.19806930229073,-91.91696730815934,-91.51974363322485,-7.782442761717582,87.56243340207574,-3.70530024228456,266.8557927739257,-303.89996254948096,270.53299095195723,942.1422879452398,-622.4552424696349
126.06,-77.79889840382263,-62.80129443011102,3.5156069728385995,22.691516611984724,-178.92532502853948,-178.37010408884058,-200.74427328478163,187.34118845476553,172.58864474931147,-523.0147030464861,-82.95679913464822,-86.57989594802923,-95.15790073082552,-113.77858943027275,-91.64229375798695,-91.08707281828802,-7.441766930968402,87.28302623982451,-3.729225493643671,267.3154551162697,-293.461242014229,274.6242197253181,930.975664655531,-608.3904833211678
126.08,-82.82047973569344,-60.72681612061579,1.5299255552640105,24.61164354534454,-178.4870187862055,-177.8095539079237,-185.41106378616766,190.48804807259663,176.49230441978685,-516.4035514285051,-85.72267478379624,-86.03327298297991,-92.90219504810274,-115.30644815990148,-91.37226949283875,-90.69480461455693,-7.393575966392099,87.11473481693419,-3.816362288205585,267.67000184932186,-278.29631449280083,277.60279736596345,911.0905376671512,-598.8007540625414
126.10000000000001,-86.78186911086779,-61.66940326386419,-0.5486461427095253,23.54153048214946,-178.18802808386815,-177.47133928509774,-170.85883565520274,192.25797965162528,180.58214271357986,-513.4767649234243,-87.36873813446839,-85.629764460447,-90.58686902360053,-113.96035684968909,-91.13551516631007,-90.41882636753964,-7.732928634937391,87.05248648121055,-3.9023554199118573,267.8171092552991,-263.8063227376446,279.31049256918345,883.8109936264258,-594.1662723542405
126.12,-88.51345238779565,-63.392377335240276,-1.7437067990321333,21.585795523910395,-178.25331692277712,-177.41556854526257,-164.7625043062572,193.06302732244401,182.72244443482833,-512.989256326896,-87.95310628386642,-85.32378642160748,-89.43965389607071,-111.9314078414987,-91.18336069510283,-90.34561231758832,-8.35029387440667,87.06992316488302,-3.9293674321561163,267.71821594519656,-257.6925480785829,280.13298355011835,853.0132594411448,-592.8562727767774
126.14,-87.94513677449353,-64.99406744692237,-1.7368616803298813,19.56330030441447,-178.910584641272,-177.66464735728252,-170.77879299053018,193.33447211927117,181.9129285974196,-513.6546426734405,-87.97728943312063,-85.08044451800588,-90.03215265862706,-110.08637735938196,-91.76901433895691,-90.52307705496752,-9.110194214125585,87.14155291568356,-3.8785477741686654,267.40721005852197,-263.6372226882151,280.47604242158627,822.2831161301726,-593.1786002518539
126.16,-86.17251616648939,-66.27408628696486,-1.08661805666318,17.55772996159195,-180.0814666964748,-178.15637560199224,-185.02831727974674,193.3768403722465,178.9867072446928,-514.6360202606176,-87.93265189648476,-84.75347822470911,-91.76013572999531,-108.47939265376799,-92.84675378665848,-90.92166269217604,-9.952522499212936,87.2347588794871,-3.7986722535551127,266.9925686380586,-277.7936043699305,280.6115532820628,795.2547447542445,-594.0244669785545
126.18,-84.5746493850713,-67.39745663365369,-0.6707550454341493,15.424966209540191,-181.40595531401323,-178.78523773704865,-199.799324878393,193.37151573002808,175.5136916028813,-515.4323182983543,-87.99486729156172,-84.2926776149594,-93.42021790649032,-106.89522158450016,-94.09097295192447,-91.47025537495996,-10.767018098957408,87.31516226927354,-3.7612804967838143,266.6388260889704,-292.48434251630425,280.68649809211684,775.8999126389217,-594.7458202062372
126.2,-83.85025362204503,-68.8223326149335,-1.0526331795323898,13.07009752493696,-182.57919120068294,-179.452215198233,-209.9303174776292,193.42148687284862,172.4278696247457,-515.7013769110091,-88.01673329091626,-83.98456664217909,-94.16647966887113,-105.16223437089062,-95.21911284840353,-92.09213684595362,-11.328076895253826,87.3604544960995,-3.7766866022785384,266.49707108357603,-302.57023912534976,280.781565225128,765.615340949573,-594.9198116858809
126.22,-84.03239068350095,-70.8254863445269,-2.3008054538845837,10.554635568068985,-183.52008572772786,-180.08358903977734,-214.87271145932203,193.57554633311878,169.87996421111478,-515.3600177557483,-87.89297414206985,-84.1050140092098,-93.8605834585688,-103.2795277925719,-96.1613889124534,-92.72489222450288,-11.499839655364369,87.35924222096018,-3.7935770255451993,266.62425303044216,-307.5140146440475,280.9342431483932,762.3659495670667,-594.4257746073548
126.24000000000001,-84.94535175709892,-73.20558819369654,-4.105397171043209,8.095299222505917,-184.22730638625413,-180.61843205079165,-216.3720166896637,193.81253662896992,167.8693440263505,-514.6330104469104,-87.76304610156294,-84.61510459008174,-92.81769434446392,-101.4095164025506,-96.92309151550714,-93.31421718004466,-11.414915027446046,87.30467412233627,-3.7740699283474024,266.9496916438281,-309.06780181891656,281.1167514997169,763.0438317572557,-593.5162589471931
126.26,-86.2037555248706,-75.51852154015293,-5.9545562192754415,5.9853795153783045,-184.64587490142122,-180.9872183698579,-216.000902259342,194.0682189222971,166.52727353303828,-513.7656401434731,-87.70187785672519,-85.29792311350357,-91.49812233185449,-99.77940153494494,-97.45267855112994,-93.79402201956665,-11.292232849928144,87.19292530156072,-3.7193780806216616,267.3198742129896,-308.8077059090506,281.2614152725883,764.8490040716417,-592.5042248708845
126.28,-87.24183350720344,-77.16578468522515,-7.261175884342826,4.4566657431464485,-184.64391070261868,-181.1490071429659,-214.0611524083719,194.29963677382733,166.15796469221294,-512.8262149937366,-87.59387046581419,-85.74075975154584,-90.35203695861067,-98.57497502644719,-97.61321284295349,-94.11830928330076,-11.167702505964385,87.02861099268581,-3.643175969975617,267.5933623891083,-307.0304545487066,281.33033463349244,765.0658682640227,-591.4958803602439
126.3,-87.68813822293927,-77.52304810172326,-7.342560708706981,3.5495061305729037,-183.95752361409004,-181.1391020522334,-209.4178289527916,194.48062312862567,167.37482913724003,-511.8642893553264,-87.47448053482854,-85.38303571685537,-89.7863423118892,-97.85998758931247,-97.1289030205962,-94.31048145873959,-10.976624706946748,86.82350331260896,-3.5614195792815773,267.723270041439,-302.58920835929763,281.30924372211945,760.7782105569727,-590.5550456332066
126.32000000000001,-87.34422597047511,-76.500434452707,-5.452281510160992,3.096513098719014,-182.20882215858524,-181.04597624874364,-200.26800396287467,194.56030512845697,170.94118500696996,-511.05051815845604,-87.50236448999692,-84.04452168276995,-90.15813851952177,-97.5440872185602,-95.61042002968279,-94.44757411984119,-10.76139236695711,86.5899446308297,-3.5045994838808356,267.74838250138777,-293.6696018339721,281.15870725735937,749.2882200880969,-589.8918109010963
126.34,-85.88411940215114,-74.64017920445717,-1.3237047331078766,2.8603039753208765,-179.27562866134411,-180.95771679416276,-186.15632321208182,194.50811036777068,176.9636339304559,-510.5837804495256,-87.47468535020762,-82.09684199608483,-91.59056594805645,-97.45666278930386,-92.91427068116435,-94.59635881398299,-10.608017491237398,86.35217842344434,-3.522395201773768,267.7061642622307,-279.7949652319019,280.8694683479505,730.1334950480617,-589.7143121015749
126.36,-83.25542526426901,-72.49579506486123,4.076307075899503,2.7032995589070894,-175.7654011084709,-180.920210171541,-169.906084999633,194.38532857018345,184.06557999639017,-510.56232786807476,-86.94177986008782,-79.96395120504145,-93.68635459581876,-97.46815614189642,-89.61004751991928,-94.76485658298931,-10.488307970848457,86.15374125769961,-3.6402715294691173,267.6125671097301,-263.75073141108123,280.5406821587352,707.4203008451419,-590.0216457093395
126.38000000000001,-80.14233969617285,-70.4172498300307,8.919576100492467,2.5994197044856335,-172.77054803730763,-180.91440116326913,-156.22056604769708,194.2969223750026,190.0600899567135,-510.9041094391787,-85.82864094197438,-77.92724780329284,-95.68630124580145,-97.50999797575604,-86.766725145309,-94.91057827127041,-10.31216206875326,86.02567031678826,-3.81911764844242,267.5054784474038,-250.21674315569828,280.30074526700133,687.9950848805648,-590.6033641721773
126.4,-77.43690584127243,-68.77045458336625,11.951042041050167,2.522304173993585,-170.99797352145862,-180.88447911324116,-147.83665967311478,194.29704428915474,193.76146611227284,-511.3529938241143,-84.49718731476213,-76.28850377972844,-97.06028147348961,-97.51804919821551,-85.10923943243947,-94.99574502422193,-10.053364166709947,85.95510643401398,-4.004734929278763,267.42285323157347,-241.94792558409546,280.18577837817395,676.1397275469785,-591.1672154459403
126.42,-75.62293366952939,-67.75827941157509,13.103326318884276,2.398531696710223,-170.42345040867343,-180.81379589260794,-144.27287430379621,194.3895803444025,195.4599723853695,-511.6575928495805,-83.36736515640261,-75.188261759255,-97.74443148687315,-97.42998234863354,-84.6411051679889,-95.03145065192332,-9.72535838057508,85.90705466554401,-4.172556760029244,267.352335493532,-238.49052906311147,280.1719255850871,671.4321293764095,-591.4856672644933
126.44,-74.7532550296191,-67.21756083139053,12.933391235917531,2.1543753212185655,-170.67864498855204,-180.7748507640717,-143.6664480747228,194.56003099220587,195.91236372850165,-511.7236706398066,-82.66301403554978,-74.44450969784928,-97.90975900593061,-97.22694886675124,-84.97636777001307,-95.07257354553268,-9.322839347205809,85.86376270795984,-4.291477648069751,267.2619693357652,-237.9641708561837,280.26230821074483,671.0042380555626,-591.4613624290615
126.46000000000001,-74.50089432863416,-66.95857976248705,12.095726663448328,1.7742749952135672,-171.41327966498199,-180.90326871617182,-144.41840627707342,194.7359559683426,195.73615128740855,-511.59145562138275,-82.27688599140718,-73.90310880825928,-97.77599166277294,-96.94452904572799,-85.68026499932458,-95.17025405051442,-8.840633216873897,85.83062246888731,-4.325290995153276,267.19066117249446,-238.68539161141598,280.468970634,672.1541106763307,-591.1224849873826
126.48,-74.29701546760435,-67.06151539824691,11.145637583862447,1.3274126619959796,-172.40840422751324,-181.33405940338207,-145.64704809610168,194.73568808468582,195.45046743190647,-511.409291912742,-81.83770934177058,-73.70963952656057,-97.54069387416612,-96.64812412816848,-86.39505629030366,-95.32071146617248,-8.286188760550498,85.82467509531463,-4.27608203975374,267.25127080341184,-239.6337001588921,280.7490360218954,673.4204437221282,-590.6602558908464
126.5,-73.64101580193801,-67.62091243671074,10.367024026708421,0.9476248103197047,-173.6163264350771,-182.13712183586733,-147.0683106587831,194.334973984231,195.43342402931626,-511.3782641005388,-80.94551653664182,-74.0268093559432,-97.3045007347037,-96.40589691910522,-86.93747670799526,-95.45827210878548,-7.657475369470742,85.86496056727519,-4.170975304565787,267.52286506379806,-240.38946093170125,281.01382371131285,674.3921963669802,-590.3644403892257
126.52,-72.36183815595554,-68.4377643684424,9.7350567560224,0.7698656037069335,-175.0395449569111,-183.22326249096164,-148.66013538285395,193.47411935427198,195.78893254281905,-511.57086351897965,-79.41343206121833,-74.70788465551475,-97.05159390526266,-96.27012028699777,-87.31653714924026,-95.50025468329079,-6.940553527013738,85.96586834917582,-4.0301101694010555,267.978566654829,-240.9371275751831,281.19712716194283,675.0446243292157,-590.3737363570365
126.54,-70.75525235116635,-69.11145765654987,9.133610314782898,0.865036145517179,-176.4632960187178,-184.28437717044426,-150.32117839464814,192.42999312656167,196.42206199992376,-511.86165953303123,-77.4720003463271,-75.38071263420035,-96.71674799516065,-96.2692549776214,-87.58313768037775,-95.40421883210419,-6.1621099161508415,86.13445356451747,-3.8709055815482727,268.49662125512447,-241.44102005630805,281.31015146490176,675.3970655392104,-590.5515080681291
126.56,-69.35820798252139,-69.33489410090075,8.540912511993707,1.198271783662498,-177.4982502759839,-184.97117884404832,-151.80967990123202,191.6742476286061,197.2440902286275,-512.0878080138866,-75.62625017183227,-75.7332241299475,-96.26804218931079,-96.39833002904406,-87.72712967731708,-95.20005824538154,-5.4215188818223865,86.35647292775607,-3.7271753264559937,268.93288837951525,-242.03855930256515,281.445368227273,675.5471982969607,-590.6424397866133
126.58,-68.51686838742968,-69.15567233111945,7.9480980491032165,1.6084597126832658,-177.98130175247806,-185.19527355141423,-152.95853049987304,191.4674868532769,198.1966094164274,-512.166966779167,-74.23220492488186,-75.74534233108038,-95.71533653745212,-96.58966999996841,-87.7672384883489,-94.98121028728512,-4.811849461111453,86.58789897622681,-3.632060795470808,269.1987709079637,-242.74446723574383,281.6815501174061,675.6431611775324,-590.4854166617605
126.60000000000001,-68.29518939704796,-68.98252983971811,7.261501387126325,1.8922680192744161,-178.0897082530663,-185.12589695908565,-153.7817376504482,191.68828412022842,199.1609562401723,-512.0245941154934,-73.36180675749392,-75.7161025383232,-95.06661736044592,-96.73357269861339,-87.80511597331956,-94.84130467933896,-4.335312251305133,86.79292849590762,-3.5727826016668263,269.2762400255802,-243.49714537070142,281.97287639997523,675.7326831171499,-590.0517177155177
126.62,-68.57637627324083,-69.1523982473653,6.381348196997133,2.011457347806955,-178.06158749701376,-184.9060740371332,-154.3987510045769,192.06900786135745,200.05983232085705,-511.55756781042277,-72.88951923047568,-75.94013689552376,-94.31314295723479,-96.78773864816408,-87.93179476023762,-94.77628130035716,-3.9504356561892084,86.98398366684312,-3.5012340002655478,269.20338552802036,-244.2689582678007,282.19880059813363,675.792123853197,-589.3587672122886
126.64,-68.99864264435418,-69.49054111641574,5.298384574210558,2.148359077941628,-178.03179867306108,-184.5369288874041,-154.95636536562927,192.43914206953104,200.98067856474776,-510.77172822052205,-72.46742790727417,-76.31443109740705,-93.46878526291992,-96.82388998099404,-88.17040068870934,-94.67553090305245,-3.6753375690852903,87.19219396890912,-3.3830143882598582,269.0402539810762,-245.0949673812775,282.3005400538828,675.8629944972076,-588.4711881666387
126.66,-69.11980342350434,-69.52481877515952,4.102029365153255,2.4511260858302304,-178.06787291481993,-184.02583099898447,-155.5510649083732,192.7515090397952,202.00576370478126,-509.87366168600374,-71.73126284867459,-76.44333300517049,-92.61145942517018,-96.9185142300117,-88.5094300600169,-94.4673881441815,-3.5818677072532537,87.42341867919838,-3.2057508575772324,268.8344642328545,-245.99262205357016,282.3099518945982,675.99039013483,-587.5637097914052
126.68,-68.91504884981634,-69.10498248810526,2.913523535149083,2.839028275868241,-178.19370569825128,-183.48327496042492,-156.18812937460103,193.01236610540602,203.0373979126392,-509.10274158552795,-70.7565155996282,-76.16152324081028,-91.84146674981177,-97.05654075270455,-88.92794321466268,-94.21751247683633,-3.673067280987774,87.66655467467943,-2.9771282392968788,268.62153656111565,-246.9223668910124,282.2781285889946,676.1005776059442,-586.8246129965333
126.7,-68.70359386939761,-68.49883265533703,1.8320394003739457,3.1669791596196175,-178.3859283351626,-183.0262509237175,-156.83825652093753,193.24209537138378,203.91830334558506,-508.4582961739237,-69.91818090983979,-75.68868204358104,-91.21458704044211,-97.18984938824265,-89.38254764006814,-94.02287022862303,-3.8088295888571007,87.90520194635201,-2.7390344864663403,268.41054025551296,-247.83487582584306,282.24547606647815,676.0771383155087,-586.2128201074462
126.72,-68.57892688101767,-67.92468062719011,0.9495265134141058,3.4282162148866258,-178.58629999057814,-182.6744274117248,-157.492650818846,193.49111246074108,204.58586552079058,-507.71343738517544,-69.3300902277735,-75.24266109656745,-90.75116334675576,-97.31798046937492,-89.80163683334162,-93.8897642544883,-3.8088346965881694,88.11782750211148,-2.549674806615532,268.1763626764888,-248.70798766160948,282.27577561797744,675.8767242610419,-585.4376617671998
126.74000000000001,-68.44908246561592,-67.40813302411208,0.3443543878263565,3.6485240025508943,-178.73053003987923,-182.39133759307214,-158.1578631915782,193.8130227043092,205.07226836430675,-506.7083671450679,-68.91878087148731,-74.84280859790432,-90.46969840587134,-97.43467557378877,-90.12534401804493,-93.78615157123787,-3.6310081120898685,88.29957179101693,-2.4403370598244716,267.88878276908326,-249.55267716974393,282.4182087261434,675.5206444315247,-584.2901584189275
